warengruppe,artikel,anzahl
1190 Torten,Schwarzwäldertorte 24cm,53
1340 Apéro,Riesenbrezel gemischt gefüllt,196
1190 Torten,Streuselkuchen ganz,100
1190 Torten,Mandarinen/Zimt Torte 20cm (saisonal),258
1170 Kuchen,Hefestollen ( Russenzopf ) gross,153
1190 Torten,Beerentorte 26cm (saisonal),70
1000 Brot Gross,Bauernbrot 1000g,244
1000 Brot Gross,Vollkornbrot 1000g,194
1000 Brot Gross,Kürbiskernbrot 500g,209
1190 Torten,Tiramisu Torte 24cm,144
1000 Brot Gross,Bauernbrot 500g,229
1140 Trockenstückli,"Rhabarber- Streuselkuchen, 20 cm",271
1170 Kuchen,Hefekranz,85
1190 Torten,Schwarzwäldertorte 20cm (750gr.),13
<Keine Warengruppe definiert>,Banane,100
1170 Kuchen,Karotten,117
2000 Pfand,Marlboro gold,221
1090 Mittagsmenues,Suppe gross m. Brot,164
<Keine Warengruppe definiert>,Pouletcurry-Salat,2
1000 Brot Gross,Vollkornbrot 250g,164
1000 Brot Gross,Halbweissbrot 1000g,94
<Keine Warengruppe definiert>,"Sauerkirsch- Streuselkuchen, 20 cm",106
1120 Patisserie,Schwedenschnitte,154
1170 Kuchen,Schokolade,38
1150 Hefe Gebäcke,Berliner,29
1000 Brot Gross,Halbweiss-Teig,112
1170 Kuchen,Zitronen,89
1080 Zöpfe,Laugenbutterzopf,159
<Keine Warengruppe definiert>,Randen-Apfelsalat,141
1090 Mittagsmenues,Hühnchen-Spiess,191
<Keine Warengruppe definiert>,Panini mit Fleisch TS,156
1040 Spezialbrot,Hirtenbrot kg,123
1330 Konfekt,Amaretti Kirsch 3er,137
1150 Hefe Gebäcke,Holländertörtchen,232
1120 Patisserie,Erdbeertörtchen,23
1150 Hefe Gebäcke,Linzertörtchen,77
1090 Mittagsmenues,Cervelat,245
1430 3-Königstag,Königskuchen 10er,194
1320 Pralinés,6er Truffes au Champagner,239
<Keine Warengruppe definiert>,Karottensuppe,116
1000 Brot Gross,Halbweissbrot 500g,186
<Keine Warengruppe definiert>,Vollkornbrot 500g,190
<Keine Warengruppe definiert>,Kürbiskernbrot 250g,238
1350 Diverses,Bäcker Frühstück,158
1430 3-Königstag,Königskuchen 8er,80
1320 Pralinés,4er Truffes Classique,15
<Keine Warengruppe definiert>,Ananas Royal,120
1120 Patisserie,Fruchtschnitte,212
1040 Spezialbrot,Goldkornbrot,104
1120 Patisserie,Vermicelleschnitte,31
1040 Spezialbrot,Grahambrot,113
1300 Spezialitäten,Sirup Passions 450gr,8
1430 3-Königstag,Königskuchen 6er,72
<Keine Warengruppe definiert>,Paillasse-Sandwich mit Schinken,113
1150 Hefe Gebäcke,Apfel - Berliner,126
1150 Hefe Gebäcke,Blechkuchen,76
1000 Brot Gross,Halbweissbrot 250g,2
<Keine Warengruppe definiert>,Panini vegetarisch TS,39
1040 Spezialbrot,Dinkelbrot kg,104
1000 Brot Gross,Landbrot 500g,200
1090 Mittagsmenues,Suppe klein m. Brot,88
1220 Canapés,Mini-Canapé Lachs,106
1100 Mini Sachen,Grahambrötchen,127
1090 Mittagsmenues,Bratwurst,191
<Keine Warengruppe definiert>,Brezel,99
1000 Brot Gross,Baguette,241
1330 Konfekt,Karamellwürfel,79
1330 Konfekt,Bahnschienen,200
<Keine Warengruppe definiert>,Tomatensuppe,201
1080 Zöpfe,Butterzopf 700g,235
<Keine Warengruppe definiert>,Rotkrautsuppe,216
1150 Hefe Gebäcke,Nussstange,126
<Keine Warengruppe definiert>,Cole-Slowsalat,135
1150 Hefe Gebäcke,Schnecke,96
1000 Brot Gross,Kartoffelbrot 1000g,37
1940 Weihnachtsguezli / Teig,Zimtstern Weihnachten,41
1140 Trockenstückli,Keks marmoriert,152
1940 Weihnachtsguezli / Teig,Honigstern,244
1220 Canapés,Thon Canapé,58
1220 Canapés,Salami Sandwich,147
1120 Patisserie,Baileys-Mousse,173
1040 Spezialbrot,Nussbrot,59
1040 Spezialbrot,Alpenbrot (Monatsbrot),178
1040 Spezialbrot,Dinkelbrot,242
1090 Mittagsmenues,Wähen,3
1100 Mini Sachen,Dinkelbrötchen,98
1040 Spezialbrot,Paraformbrot,10
<Keine Warengruppe definiert>,Weisses Schokoladen Mousse,249
1040 Spezialbrot,Knebelbrot,163
1120 Patisserie,Maroni Püree,90
<Keine Warengruppe definiert>,Brombeer Mousse,78
1040 Spezialbrot,Fastenbrot,222
1120 Patisserie,Himbeer - Mousse,227
1100 Mini Sachen,Zopftier,37
1100 Mini Sachen,Pausenbrötchen,51
1040 Spezialbrot,Kürbiskernen - Grahambrot,95
<Keine Warengruppe definiert>,Chiabrot,215
<Keine Warengruppe definiert>,Mini-Canapé Antipasti,127
1070 Getränke,Apfelsaft,254
1140 Trockenstückli,Küche Drucker,198
<Keine Warengruppe definiert>,Kiwi Tortenstück,61
<Keine Warengruppe definiert>,Kirschen Quark,97
1100 Mini Sachen,Buttercroissant,204
1250 Wähen,Käse,100
1150 Hefe Gebäcke,Mandelstange,78
<Keine Warengruppe definiert>,Paniermehl,259
1100 Mini Sachen,Wecke2,70
1440 Samichlaus,Grittibänz klein,261
1150 Hefe Gebäcke,Vanille-Plunder,250
1100 Mini Sachen,Paraformbrötchen,277
1130 Aperogebäck,Petit Four Erdbeertörtchen,47
1940 Weihnachtsguezli / Teig,"Spitzbuben Weihnachten, Himbeer gross",132
1130 Aperogebäck,Petit Four Schwedentörtchen,252
<Keine Warengruppe definiert>,Petit Four Pâte à Choux,161
1130 Aperogebäck,Petit Four Schwarzwälder,223
1070 Getränke,Milch 1Liter,130
1940 Weihnachtsguezli / Teig,Mailänderli gross,125
1150 Hefe Gebäcke,Pflaumenkuchen,133
1940 Weihnachtsguezli / Teig,Brunsli gross,252
1140 Trockenstückli,Schokoladenring,251
1130 Aperogebäck,Petit Four Schokokuss,218
1100 Mini Sachen,5-Korn Brötchen,274
1100 Mini Sachen,Knebelbrötchen,89
1340 Apéro,Midi-Apéro Schinkengipfel,149
1100 Mini Sachen,Laugenbrezel,226
1100 Mini Sachen,Körnerbrötchen,216
1100 Mini Sachen,Maisbrötchen,212
1100 Mini Sachen,Rusticobrötchen,188
<Keine Warengruppe definiert>,Butterzopf klein,63
1150 Hefe Gebäcke,Himbeer Berliner,48
<Keine Warengruppe definiert>,Mango,244
1100 Mini Sachen,Zick Zack Wecke,9
1240 Salate / Birchermüesli,Birchermüsli rot 250gr.,16
<Keine Warengruppe definiert>,Zitrone,15
<Keine Warengruppe definiert>,Stracciatella,35
<Keine Warengruppe definiert>,Vanille,164
1100 Mini Sachen,Laugenbrötchen,24
1240 Salate / Birchermüesli,Birchermüsli hell 250gr.,133
1080 Zöpfe,Butterzopf klein 300g,256
1140 Trockenstückli,Spitzbub,1
1070 Getränke,Ice Tea,255
<Keine Warengruppe definiert>,Schokolade,121
1140 Trockenstückli,Haselnussecke,61
<Keine Warengruppe definiert>,Erdbeere,200
